,marketPriceEth,marketPriceUsd,debtAvailableToSettle,erc20CoinTotalSupply,globalDebt,globalDebtCeiling,systemSurplus,totalActiveSafeCount,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH),collateral,debt,ETH Price (OSM),block_number
353,1.2973955556722615e-05,0.010923547297158276,0.0,-146271.60532403737,-145079.39439586177,0.0,-51.563637612591265,2.0,0.0,0.0,0.0,0.0002549841168191236,-69778.33227237687,0.0,0.0,-6.089140690000477,12247590
354,-4.7076434411949183e-08,-0.00316733581530082,0.0,341602.6141789779,340439.61128962785,0.0,-36.92134284932399,3.0,0.0,0.0,0.0,0.0,358953.68001678586,0.0,0.0,-21.497782959999768,12247320
355,1.181595377979048e-05,0.02190667266596913,0.0,69663.9895516336,69925.90097450465,0.0,-45.30516470861039,3.0,0.0,0.0,0.0,0.00012709424819590254,-159948.13386949524,3.5,800.0203403155319,-11.879566009999962,12247027
356,-2.9695319387940296e-06,-0.0341392892708865,0.0,634912.162705481,634555.6252539307,0.0,-40.17885029304307,6.0,-0.026873482265760695,-4.524614002909821e-06,-3.618567088592428e-05,0.00012777880572256706,755660.348625876,0.0,0.0,-7.496920359999876,12246773
357,0.0,0.0,0.0,24974.404339797795,24998.634091868997,0.0,-11.396954229217954,4.0,0.0,0.0,0.0,0.00014060681573413447,-14216.312405988574,0.0,0.0,13.993117369999709,12246500
358,6.749684409162061e-07,-0.01311990253454276,0.0,88717.62411200255,88467.47090427577,0.0,-43.69456917975913,7.0,0.0,0.0,0.0,0.00012544541629599948,14935.078100934625,0.0,0.0,0.0,12246212
359,1.0017585794862456e-05,0.032765429550176695,0.0,-507.8121668025851,-47.94555301964283,0.0,-42.44112519407645,4.0,0.0,0.0,0.0,0.00015606153291036762,4157.689704429358,0.0,0.0,5.782950000000255,12245951
360,3.807464698109622e-06,0.016658143558464733,0.0,875526.2434002459,875065.3701903373,0.0,-37.91178385831881,24.0,0.0,0.0,0.0,0.00013960997847561885,856101.2239632942,26.0,9953.110378124751,-4.146099149999827,12245663
361,1.334036505247732e-05,0.032046144905836904,0.0,-522088.302390337,-522197.87649556994,0.0,-44.439835626079,9.0,0.00016786043004735074,2.8826086406752438e-08,2.3053344710977086e-07,0.00014243698054983156,-204463.8495206982,0.0,0.0,-32.70030816000053,12245379
362,0.0,0.0,0.0,-36279.14505884051,-36308.14636322856,0.0,-24.91815223431331,2.0,0.0,0.0,0.0,0.0001403182322063934,70265.25329397246,0.0,0.0,-10.727449729999535,12245114
