date,DAI Supply,Max DAI Supply,ETH Freed from CDPs that are still open,ETH Freed from completely closed CDPs,Locks volume ETH,"Stability Fee Paid, ETH",closed CDPs,1 - 7 days WIPES,30 - 365 days WIPES,7 - 30 days WIPES,less than 1 day WIPES,more than 365 days WIPES,"Locked in CDPs, ETH"
2018-03-13,21657834.8197226,50000000,0,47.1509985789908,188.982053458316,0,4,15.0436096191406,71.3224258422852,1.65330183506012,0,0,83354.5822916755
2018-03-14,21801750.0214511,50000000,10,207.509102902151,4787.31097962649,0,3,56.2094078063965,31.2485656738281,38.8188247680664,311.137176513672,0,87590.5904192603
2018-03-15,22119196.6849715,50000000,1.9,34.9056194070259,4110.89772613308,0,3,0.018625000491738,305.956298828125,15.5772562026978,0.118522733449936,1.69318187236786,91626.9756967559
2018-03-16,22610623.9817923,50000000,0.008987424515222,53.504,2418.46460058777,0,7,0,7.99484729766846,24.5283222198486,0.410342752933502,0,93985.7259973625
2018-03-17,22679799.3541778,50000000,0,5.25304700362633,1392.08757581597,0,3,8.01226615905762,17.861780166626,22.737268447876,8.92158126831055,0,95362.448739985
2018-03-18,16984365.5908692,50000000,3240,748.392139594032,15993.7683504612,0,12,34.9577369689941,4232.02197265625,116.665664672852,71.5868072509766,0,91925.7748820204
2018-03-19,17752357.4563682,50000000,50,115.44132339055,4424.07635506921,0,6,1.90652632713318,23.897928237915,0,88.8919525146484,11.6989974975586,96065.195495447
2018-03-20,17942074.3487449,50000000,50.5926176041381,141.192816777071,1112.11467063575,0,6,31.9908409118652,20.8343906402588,3.27386403083801,0,0,96826.0313947378
2018-03-21,18152593.8167121,50000000,0,101.459037860432,832.712841262459,0,0,15.6256408691406,33.9287300109863,8.0421314239502,0.001734255463816,0.017342554405332,97556.0852187169
2018-03-22,18268806.9910144,50000000,0,220.244983378208,940.918754488008,0,0,42.6792030334473,9.36434268951416,0,58.5510940551758,0,98274.1541016509
2018-03-23,18381836.1503891,50000000,5.6988,4.69,412.971919944992,0,3,4.99337673187256,17.3965358734131,2.44759607315063,0.033534351736307,19.2237873077393,98628.7808207813
2018-03-24,18423087.1174159,50000000,0,58.8233807961806,174.691691574282,0,1,12.8099794387817,3.94393110275269,8.14357662200928,4.17690181732178,0,98742.9415795167
2018-03-25,18482393.0944159,50000000,0,125.087898514546,301.343808192834,0,2,0,0,0,0.043353203684092,0,98917.6269664192
2018-03-26,18646207.4147096,50000000,0,4.264,1763.00267244774,0,1,0.085639424622059,140.783554077148,10.0125703811646,0.016209917142987,0,100674.731470326
2018-03-27,18692315.0705573,50000000,0,381.379984616536,2374.95297616264,0,3,0.250592201948166,81.6505966186523,389.346862792969,1.74325013160706,0.214294195175171,102652.366936075
2018-03-28,18993714.3916736,50000000,0,510.092615597638,4009.30442753327,0,5,0.818757712841034,205.852569580078,35.2195205688477,29.0815582275391,0,105949.127326475
2018-03-29,18992867.8901343,50000000,0,178.41788775294,9963.0406631454,0,7,34.3096885681152,605.911987304688,56.258358001709,3.43517017364502,0,115143.719961882
2018-03-30,18752406.2117141,50000000,1.5,275.153916556771,15284.0968084864,0,11,0,1654.21435546875,210.998962402344,5.25476598739624,0,128629.387849306
2018-03-31,19013588.722121,50000000,0,3518.1537055181,1400.88440745766,0,1,0,4.69012546539307,4.47622871398926,0.633494794368744,0,126447.721270919
2018-04-01,19377432.0069828,50000000,0.163873035377058,72.7625116747193,3703.97821717491,0,5,2.72727251052856,41.3070983886719,40.4260025024414,0.688297867774963,2.6270911693573,130064.234205946
2018-04-02,19572110.9609478,50000000,0,98.1246038699816,4096.00577921968,0,1,0,30.8908233642578,0,0,0,134060.87105077
2018-04-03,19671120.0548926,50000000,0,614.088226894836,992.310399811,0,1,5.7541561126709,520.302001953125,0.424329906702042,1.21721482276917,6.01275157928467,134421.178294924
2018-04-04,19681956.8820181,50000000,0,51.5,1755.3383148407,0,3,0.034996725618839,414.920379638672,48.3137550354004,36.4921760559082,0,136120.081869348
2018-04-05,20049340.432302,50000000,50,3.5382121656503,1432.20972228928,0,4,3.47272682189941,59.1879615783691,55.3692932128906,0,0,137433.492499874
2018-04-06,20051841.9273746,50000000,0,135.293033195713,1045.82908313336,0,2,251.724472045898,67.7048950195313,0,4.35880470275879,0,138336.459754567
2018-04-07,20084336.8439878,50000000,24.4056941891675,447.037420562025,279.742689460841,0,4,118.330101013184,33.0006103515625,0.003715886035934,0.339469581842422,0,138125.031798525
2018-04-08,20269293.8480034,50000000,0.034712158353331,112.021653120604,1508.3059578661,0,3,102.742256164551,4.17496299743652,73.4856262207031,0.278746843338013,0,139326.820568462
2018-04-09,20644115.5824267,50000000,0,506.45776537198,2425.25865953713,0,5,35.471118927002,59.4694213867188,89.6131057739258,76.0547943115234,0,141237.376800619
2018-04-10,21079830.7156006,50000000,0,3.55818365299781,2147.80502595566,0,2,0.187590792775154,0,0.351132214069366,0,117.775802612305,143057.506354197
2018-04-11,21738979.490835,50000000,0.7,3381.33649001319,6307.70856763467,0,4,7.24186563491821,579.99169921875,39.4432945251465,0,0.004711191635579,145936.21094054
2018-04-12,23330951.0293382,50000000,4.58445525283542,362.14317344944,7615.01478790844,0,6,54.9561004638672,186.439575195313,227.462905883789,229.733978271484,0,153074.996265413
2018-04-13,24231720.095803,50000000,3.94,355.241944186871,2792.81747162267,0,5,10.4368181228638,143.382934570313,93.1181030273438,8.01683235168457,3.92693257331848,155503.705160823
2018-04-14,24404969.5198818,50000000,25.2962433128613,3.48974953906492,341.922916878527,0,3,0.4973503947258,27.1889190673828,0.477456361055374,7.40969085693359,0,155767.280051594
2018-04-15,24760562.1050435,50000000,2.72862246485708,565.560145513845,965.395848247185,0,7,3.23724007606506,24.7297515869141,81.9396667480469,2.17656803131104,0,156085.683563061
2018-04-16,25025106.0233934,50000000,0.01,35.5488581193923,1434.51710146551,0,7,0.150853499770165,39.4844207763672,41.3377799987793,2.68190479278564,0,157482.819621172
2018-04-17,25216340.7988521,50000000,0,137.993984295945,902.592991428454,0,5,6.86170291900635,4.46192216873169,3.29471850395203,0,0,158245.32444617
2018-04-18,25691711.5303223,50000000,0,206.534,3378.30810044621,0,5,51.5678558349609,12.4875516891479,13.352147102356,0,14.7954759597778,161410.080338636
2018-04-19,25966044.7827502,50000000,0,261.781,945.762949028337,0,8,32.7186241149902,228.407424926758,1.44840598106384,4.10209894180298,4.02917289733887,162048.470725186
2018-04-20,26573316.6856804,50000000,26.524,595.686213377336,1278.91310363453,0,2,4.4668140411377,226.76741027832,75.7128067016602,3.62459635734558,1.36777222156525,162695.251370683
2018-04-21,26917143.6856804,50000000,0,69.877,682.006134398871,0,5,0,1.67508542537689,83.7710189819336,0.162483274936676,0,163279.986913167
2018-04-22,27239314.3788177,50000000,44,661.45904134448,584.274972967255,0,3,0.807247579097748,169.395980834961,30.675407409668,1.6144951581955,0,162995.59406043
2018-04-23,27157592.0717293,50000000,29.6,2344.14692070849,708.975260055745,0,6,0.372216790914535,755.297973632813,234.694274902344,7.81968069076538,0,161198.391044744
2018-04-24,27511244.6041714,50000000,0,1415.80279440353,880.104933199334,0,2,0.213826209306717,347.463806152344,151.448318481445,0.103226445615292,0,160644.493105981
