__timestamp,Locked Amount,Accumulated Lock,Accumulated Free
2019-10-22,1564410.855567528,5518422.127694769,3954011.272127241
2019-10-21,1563445.7659698273,5516155.268410424,3952709.5024405965
2019-10-20,1563223.459246125,5513781.992459725,3950558.5332135996
2019-10-19,1562602.2341483198,5512198.544831789,3949596.3106834693
2019-10-18,1562583.9998131841,5507276.34228143,3944692.342468246
2019-10-11,1562345.609107702,5475749.507561949,3913403.898454247
2019-10-13,1562302.3677602941,5479039.279353837,3916736.9115935424
2019-10-12,1560838.033387288,5477284.759759413,3916446.726372125
2019-10-15,1559756.6596154673,5495343.842097681,3935587.1824822137
2019-10-17,1559252.7463189978,5498613.238462617,3939360.492143619
2019-10-14,1559196.4620451145,5485248.099223192,3926051.6371780774
2019-10-16,1559049.6399967615,5498062.840681724,3939013.200684963
2019-06-25,1558286.3470040327,4391168.674956421,2832882.3279523887
2019-07-19,1547238.2962652869,4812444.532552671,3265206.236287384
2019-07-21,1547237.2410173165,4824551.808387589,3277314.5673702722
2019-07-16,1545368.6691201623,4768434.681819556,3223066.012699394
2019-10-08,1542280.9481560197,5439170.240170421,3896889.2920144014
2019-07-20,1541999.284890208,4817457.173991803,3275457.889101595
2019-10-07,1540264.4860864687,5436068.791421716,3895804.3053352474
2019-10-02,1536538.2723262743,5414058.917125989,3877520.6447997144
2019-10-04,1536007.5233045518,5422092.766292973,3886085.2429884216
2019-10-01,1533298.9744097237,5410047.626370797,3876748.6519610733
2019-09-30,1531726.3499390185,5407019.338948438,3875292.9890094195
2018-12-05,1531265.0698603727,2190499.8985206145,659234.8286602419
2019-10-06,1531202.0023217727,5426055.654424914,3894853.6521031414
2019-10-05,1531026.3164195395,5423476.028850904,3892449.712431364
2019-09-27,1529959.3851436586,5399442.308370236,3869482.9232265777
2019-10-03,1529242.6025342974,5414983.472175752,3885740.8696414544
2019-09-29,1529012.667071029,5402582.85489451,3873570.1878234805
2019-09-28,1528449.89463423,5400319.269949412,3871869.375315182
2019-09-26,1525944.039734858,5391844.150297869,3865900.110563011
2019-07-03,1522749.4717386886,4503199.781558006,2980450.3098193174
2019-09-17,1521157.4565841164,5228434.715991468,3707277.2594073517
2018-12-04,1521129.420266591,2168759.245945749,647629.8256791577
2019-09-22,1520452.1596326185,5242228.113623492,3721775.953990874
2019-09-18,1520243.2495892653,5229859.31429059,3709616.0647013243
2019-09-21,1520234.4745087717,5241183.184471816,3720948.709963044
2019-09-20,1520221.3731595255,5240478.497631064,3720257.1244715382
2019-09-19,1519646.881547518,5235449.523916212,3715802.642368694
2019-07-05,1519214.011282947,4510620.502246424,2991406.4909634767
2019-07-02,1518822.6668330585,4497593.798905718,2978771.1320726597
2019-07-04,1518301.2003670158,4506239.171714014,2987937.9713469986
2019-09-23,1517049.143626134,5244897.22065914,3727848.0770330057
2019-09-16,1515067.6360080242,5213055.636574782,3697988.000566758
2019-06-26,1515005.675402925,4405719.59633093,2890713.9209280047
2019-07-11,1514525.4122292679,4542977.577803004,3028452.1655737357
2019-06-27,1514383.7450775309,4442660.145729656,2928276.4006521255
2019-07-08,1514206.9629833512,4518037.44331349,3003830.4803301385
2019-07-07,1514035.9186516139,4515018.606168856,3000982.687517242
2019-07-06,1513070.8103753314,4511315.446611153,2998244.6362358215
2019-07-01,1512309.8631218597,4478982.051373859,2966672.188251999
2019-07-09,1510880.0185123454,4520949.41537068,3010069.396858335
2019-09-15,1510711.4913600697,5203802.838223584,3693091.3468635143
2018-12-03,1509322.7900267201,2156151.850202951,646829.0601762309
2019-07-10,1508411.071893882,4530422.227049657,3022011.155155775
2019-09-24,1506851.141161155,5320639.075863278,3813787.9347021226
2019-07-12,1506452.8917322895,4546417.064928307,3039964.1731960177
2019-07-15,1504967.1637622197,4673415.601493431,3168448.4377312115
2019-07-14,1504956.6828823914,4610314.000493059,3105357.3176106676
2019-07-13,1503987.907331285,4549238.744747364,3045250.837416079
2019-06-28,1503488.2783972626,4450512.697437267,2947024.4190400043
2019-06-30,1503142.0520425867,4464462.835532101,2961320.783489514
2019-06-29,1501446.7052632347,4455855.593781502,2954408.8885182673
2018-12-02,1501144.3886957332,2126187.2965919375,625042.9078962045
2019-09-25,1498813.8475296204,5335147.379565632,3836333.5320360116
2018-12-06,1494841.9837768748,2260632.957637197,765790.9738603219
2018-12-01,1488197.9078159763,2109366.3562330417,621168.4484170654
2018-11-30,1486912.1200315203,2106200.727736774,619288.6077052536
2018-11-29,1484965.9345479233,2100640.8630841076,615674.9285361844
2018-11-28,1477203.0891176532,2092639.4439877626,615436.3548701095
2018-11-27,1472366.196394449,2085711.8373639355,613345.6409694864
2019-07-22,1463586.3881722298,4829046.200383228,3365459.8122109985
2019-09-14,1445775.3584281509,5138149.8710430255,3692374.5126148746
2019-09-12,1442568.9320243332,5131545.506687911,3688976.574663578
2019-09-13,1442308.6467162496,5134259.756268221,3691951.1095519713
2019-09-11,1441890.8977401191,5129768.787561215,3687877.8898210963
2019-09-10,1440733.15719807,5128416.610786707,3687683.453588637
2019-09-09,1439560.9451499959,5126696.996776358,3687136.0516263624
2019-09-08,1435303.6100389776,5122297.120195601,3686993.5101566236
2019-09-07,1432398.7579512168,5118581.757024778,3686182.9990735613
2019-09-04,1432165.9579315512,5108890.303429551,3676724.3454980003
2019-09-06,1432045.11522299,5115298.815623041,3683253.700400051
2019-09-03,1431192.5454474734,5107292.170250666,3676099.624803193
2019-09-05,1430994.7770526367,5111514.229823055,3680519.452770418
2019-08-29,1430105.9945309274,5091992.589746532,3661886.5952156046
2019-08-30,1428877.1353678913,5094861.345844172,3665984.2104762807
2019-08-31,1427838.7232129783,5095816.945411221,3667978.222198243
2019-09-02,1425696.4928075694,5100671.176270503,3674974.683462933
2019-09-01,1424170.884759246,5097621.2384013515,3673450.3536421056
2019-08-28,1423915.4895007038,5078181.137075359,3654265.6475746552
2018-11-26,1419389.3786631427,2026152.1027133178,606762.7240501753
2019-07-23,1408830.3428223468,4832677.73203317,3423847.389210823
2019-08-27,1407866.0651337043,5037157.482257876,3629291.4171241713
2019-07-24,1400273.644057576,4837115.7343692565,3436842.0903116805
2019-08-16,1400013.6328924852,5010962.208385485,3610948.575493
2019-08-19,1399697.117371235,5016110.859636382,3616413.742265147
2019-08-18,1399664.7168266163,5014443.62720947,3614778.9103828534
2019-08-20,1399338.7661283393,5017245.407693669,3617906.64156533
2019-08-17,1399252.7923349487,5011781.037682201,3612528.245347252
2019-08-21,1399029.8742606007,5020640.160998693,3621610.286738092
2019-08-22,1398663.2119427314,5021134.909483153,3622471.697540422
2019-08-15,1398414.025639988,5007013.114901202,3608599.089261214
2019-08-26,1397278.223965731,5025467.625447456,3628189.401481725
2019-08-24,1396370.2963661612,5022991.543263038,3626621.2468968765
2019-08-25,1396157.3261967646,5023828.881793446,3627671.5555966813
2019-08-23,1395837.631580031,5022020.505537796,3626182.873957765
2018-11-25,1391245.0601067569,1993397.8446400028,602152.784533246
2019-07-30,1387997.9679721114,4875786.926397856,3487788.958425745
2019-07-29,1387380.6366140717,4874724.362058244,3487343.725444172
2019-07-25,1383382.940024903,4838727.266162331,3455344.326137428
2019-07-31,1379221.3345850315,4876857.932106667,3497636.5975216357
2019-07-28,1378073.8528659106,4863142.591026012,3485068.738160101
2019-07-27,1375020.1749114008,4858018.859919449,3482998.6850080485
2019-07-26,1374670.198145886,4856554.43533707,3481884.2371911844
2019-08-01,1359773.1281205406,4877711.19262005,3517938.0644995095
2019-08-03,1358414.584547956,4880280.23147003,3521865.646922074
2019-08-04,1358357.3300080155,4880608.385650918,3522251.0556429024
2019-08-02,1358308.9212086992,4879109.303328487,3520800.382119788
2018-11-24,1357446.7039651242,1861312.2334923455,503865.52952722146
2019-08-14,1357321.614288772,4953699.434576581,3596377.8202878092
2019-08-05,1354707.614255847,4881684.66345187,3526977.049196023
2019-12-02,1350366.9862951515,7227324.444519426,5876957.458224274
2019-08-13,1348652.0650095702,4927164.079065664,3578512.0140560935
2018-11-22,1341949.1789431798,1825293.383510274,483344.20456709433
2018-11-23,1339806.7714527822,1837816.0338260843,498009.26237330213
2019-08-12,1338177.382861984,4915418.6386907045,3577241.2558287205
2019-08-11,1336775.0243586726,4913575.071499316,3576800.0471406435
