__timestamp,Minted DAI,Burnt DAI,Total Supply
2019-11-17,463787420.2715179,362088685.4521076,101698734.81941026
2019-11-16,463643909.83198375,361838816.4082428,101805093.42374092
2019-11-15,463567194.86481404,361711822.9706211,101855371.89419293
2019-11-14,463327647.86332417,360714106.396357,102613541.46696717
2019-11-13,462554090.17294896,359517040.7269911,103037049.44595784
2019-11-12,461516219.4688399,359381479.9090338,102134739.55980611
2019-11-11,460443910.2195811,358777835.2288952,101666074.99068594
2019-11-10,458873339.0536639,358711071.37807465,100162267.67558926
2019-11-09,458685514.6838096,358087321.70038074,100598192.98342884
2019-11-08,458309916.00030416,358014810.8317395,100295105.16856468
2019-11-07,456044076.32535887,357010965.6715238,99033110.65383506
2019-11-06,455725397.93768156,355727494.4663069,99997903.47137463
2019-11-05,451113526.0164869,355297053.4377788,95816472.57870811
2019-11-04,447686555.7340026,354260152.3780571,93426403.35594547
2019-11-03,443497530.7046739,353808496.4137522,89689034.29092169
2019-11-02,442686508.6844778,353415564.1915956,89270944.49288219
2019-11-01,442100780.8921946,353196902.9458249,88903877.94636971
2019-10-31,440730310.81152785,353145778.30136234,87584532.51016551
2019-10-30,440149458.52859735,351401999.24762255,88747459.2809748
2019-10-29,439422661.9364499,349787380.87047017,89635281.06597972
2019-10-28,437028776.50581396,349659298.63980675,87369477.86600721
2019-10-27,435503346.379405,349044316.6147024,86459029.76470262
2019-10-26,434849877.490419,347847800.4782029,87002077.01221609
2019-10-25,433515102.46342474,347374748.5697048,86140353.89371997
2019-10-24,432633696.1701208,347033336.55812556,85600359.61199522
2019-10-23,432216065.25314075,346673469.8320118,85542595.42112893
2019-10-22,430127931.8590016,345686823.13500893,84441108.72399265
2019-10-21,429779061.734642,345441539.31145644,84337522.42318559
2019-10-20,429498575.24538124,345157210.0583873,84341365.18699396
2019-10-19,429265704.87819326,344993205.18194246,84272499.6962508
2019-10-18,429155979.83828413,344871159.7491872,84284820.08909696
2019-10-17,428930165.9122393,344635564.40269846,84294601.50954086
2019-10-16,428731564.20925975,344545219.22044647,84186344.98881328
2019-10-15,428510965.27631783,344174659.9660237,84336305.31029415
