date,p,p_star,p_hat,e_hat,e_star,cumsum_e_hat,cumsum_e_star,delta_e_hat,delta_e_star,y
2018-09-29,1.00048247524067,1,0.9968511068820951,-0.0036313683585749157,-0.0004824752406700217,0.06986842484088551,-0.8632373872318118,0.0002665491706084211,0.0005015917426298699,0.996830193830589
2018-09-30,0.996830193830589,1,0.9973319864273068,0.0005017925967177872,0.0031698061694109825,0.0703702174376033,-0.8600675810624008,0.004133160955292703,0.003652281410081004,0.997245216443384
2018-10-01,0.997245216443384,1,0.9975887608528136,0.00034354440942951925,0.0027547835566159584,0.07071376184703282,-0.8573127975057848,-0.00015824818728826795,-0.00041502261279502406,0.997193311205148
2018-10-02,0.997193311205148,1,0.9980988538265225,0.0009055426213745443,0.002806688794852019,0.07161930446840736,-0.8545061087109328,0.0005619982119450251,5.190523823606075e-05,0.9997837608586692
2018-10-03,0.9997837608586692,1,0.998459173440933,-0.0013245874177361117,0.00021623914133084288,0.07029471705067125,-0.854289869569602,-0.002230130039110656,-0.0025904496535211763,0.997548999151462
2018-10-04,0.997548999151462,1,0.9983644342422482,0.0008154350907861874,0.0024510008485379986,0.07111015214145744,-0.851838868721064,0.002140022508522299,0.0022347617072071557,0.9974039271047208
2018-10-05,0.9974039271047208,1,0.9984299170970913,0.0010259899923704685,0.002596072895279189,0.07213614213382791,-0.8492427958257848,0.00021055490158428114,0.00014507204674119034,1.00045275823259
2018-10-06,1.00045275823259,1,0.9984724414348599,-0.0019803167977300307,-0.00045275823258994485,0.07015582533609788,-0.8496955540583747,-0.003006306790100499,-0.003048831127869134,1.00026460302473
2018-10-07,1.00026460302473,1,0.9985446560382841,-0.0017199469864458417,-0.0002646030247299702,0.06843587834965204,-0.8499601570831047,0.000260369811284189,0.00018815520785997464,0.996377531866045
2018-10-08,0.996377531866045,1,0.9984775805473325,0.0021000486812874364,0.003622468133954948,0.07053592703093947,-0.8463376889491497,0.003819995667733278,0.0038870711586849183,1.00021537971272
2018-10-09,1.00021537971272,1,0.9984769475460049,-0.0017384321667150981,-0.00021537971272000966,0.06879749486422437,-0.8465530686618697,-0.0038384808480025345,-0.0038378478466749577,1.00099354083715
2018-10-10,1.00099354083715,1,0.9990021836757658,-0.0019913571613842107,-0.0009935408371499754,0.06680613770284016,-0.8475466094990197,-0.00025292499466911256,-0.0007781611244299658,1.01385775057021
2018-10-11,1.01385775057021,1,0.9999269413948059,-0.013930809175404124,-0.013857750570209992,0.05287532852743604,-0.8614043600692297,-0.011939452014019913,-0.012864209733060017,0.997431324354368
